Light;Alga;Labeling time (sec);ADPG (Levels (nmol/gDW));Glutamic;2PG;FBP;SBP;DHAP;Malic;Aspartic;G6P;F6P;G1P;2OG;R5P;PP;Succinic;RuBP;UDPG;S7P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Chlamy;0;6.593989705;105.2779862;2.41359344;19.93396915;40.7771694;12.80426157;40.41212287;43.91255754;61.5550931;12.9197861;16.50809095;9.341408459;3.64720099;3.116162171;18.25421047;95.49514767;27.9818774;36.24613054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Chlamy;0;5.608041185;82.09126768;3.531344565;17.47065964;32.27874363;16.90417466;41.54947868;57.84780851;71.09376574;22.05596521;15.69182265;5.05278412;3.961849443;5.960213789;30.44662578;115.243725;21.22368913;25.36547318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Chlamy;0;3.594521174;117.7006398;3.018361527;16.4224976;34.26636289;10.59830393;44.87681056;70.36654545;56.64178587;9.524161892;16.13802309;8.880930569;1.228477357;1.622755332;20.75707087;97.35460132;23.65214405;31.25623257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Chlamy;5;3.213419319;71.7560131;3.000555961;19.92958191;28.53467922;10.9881487;30.30435867;47.78473795;35.48766375;8.672712228;13.91755102;8.362476633;1.672705592;2.949756084;20.55234846;125.7207088;18.07782963;21.17070947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Chlamy;5;3.452516478;62.14851383;3.634472997;21.08279437;23.51109576;21.30439045;44.04845959;63.39501112;58.49361759;19.20601016;15.82687686;6.971120717;5.474647058;5.80896547;51.15820296;116.5140253;19.72219796;21.56113978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Chlamy;5;2.314063188;56.59415258;1.150770282;11.4696051;14.95986087;9.580158826;22.5732322;33.01606489;31.58924377;7.032709714;13.20377395;7.275593753;0.437066695;1.649646947;27.43300595;71.13520984;14.83643815;21.97731476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Chlamy;10;6.138424559;114.7220399;2.781732062;38.03048297;60.60373554;22.36880602;60.54985948;75.67590375;105.5842994;35.24688469;19.99453136;6.122404784;4.982256779;6.994859648;26.40391723;240.04034;26.65165124;31.81887594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Chlamy;10;6.039345108;115.6914948;2.890907641;34.31464064;40.16018761;13.62931127;51.78570923;60.40619064;54.29929442;18.38024989;14.77396968;18.37539401;1.937731546;2.455174382;123.5849032;153.0239492;28.06958918;26.31044515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Chlamy;10;4.148198696;450.4921095;2.960942569;26.64616822;33.98942384;14.20846089;38.99617736;330.7731501;56.0908949;14.33523201;13.45094493;10.55408129;4.038783913;2.143417188;33.28906168;133.7110702;28.65331406;27.93113613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Chlamy;20;6.513359639;129.0113692;4.295639719;21.2626059;28.28082564;26.25154064;82.95031671;92.60051331;123.7165167;46.9665404;26.66596072;7.147107055;6.136866228;7.914435869;42.69328661;162.958422;32.239473;45.57141656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Chlamy;20;7.669446692;172.1716927;2.733567602;31.76155805;61.47675877;24.43532417;82.14408689;141.6027541;126.7483621;27.37474305;15.88746227;8.886893064;8.087270567;7.810706429;32.60853745;213.1538904;32.22725322;25.81595758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Chlamy;20;4.924864315;135.5534128;5.845273989;20.98928975;34.6571886;13.88864833;38.70100705;59.18250474;53.47951326;14.6680348;8.273183205;5.974827424;2.202018354;4.039844371;16.14862942;122.0312261;26.72028542;16.46230064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Chlamy;40;3.341053204;94.43157567;2.05997043;10.81939789;16.88986488;15.75357919;36.60278854;82.04695904;65.95513177;24.2134262;23.01156046;8.888066157;2.388279116;4.875428282;22.16934504;94.25911281;25.82164404;28.19714028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Chlamy;40;4.775136995;134.2949956;2.158954206;14.0863628;14.79201578;10.82074798;27.97275456;70.97360012;49.43011653;13.40006256;10.44465074;4.604030071;1.877763161;1.516460943;12.65971135;99.89539029;26.53863342;20.48556901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Chlamy;40;1.868082556;50.54524768;1.20560882;7.29883325;8.222808968;6.607511596;23.37133149;73.13104617;36.01868826;7.147942636;8.846147746;6.789613293;2.773465765;3.514325754;16.65979326;73.01823092;8.717328624;12.49916191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100 uE;Sorokiniana;0;20.15803718;1750.089395;4.649749213;67.62725054;59.86927342;32.77248811;1250.419209;1317.286302;326.3396417;78.78114513;87.6998218;46.09338343;11.5831545;31.72253023;55.92409412;1389.502582;94.30588045;99.73459239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
